2024-05-09 00:47:20 nohup: ignoring input
2024-05-09 00:47:20 MotionPlaning online
2024-05-09 00:47:29 Connected
2024-05-09 00:47:29 Lade Program: DHBW.gcodeProgramm wird ausgeführt. 
2024-05-09 00:47:29 Missing or invalid motion profile
2024-05-09 00:47:29 Missing or invalid motion profile
2024-05-09 00:47:29 Missing or invalid motion profile
2024-05-09 00:47:29 Missing or invalid motion profile
2024-05-09 00:47:29 Missing or invalid motion profile
2024-05-09 00:47:29 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:30 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
2024-05-09 00:47:31 Missing or invalid motion profile
